央视,#genre#
CCTV1综合,https://h5live.gslb.cmvideo.cn/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=20250829120035c6cf2dcf3b4048daaed09ff73d7630fc&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=fc2f6db00fce5ec23bd47e06b40365d4&ddCalcu=4fdcz52y6fy36w0d4bb0600fec7e45debc32&sv=10000&ct=www
CCTV2财经,https://h5live.gslb.cmvideo.cn/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=202508291200357a20100d0e7b4fd58d268111da87f9a6&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=1b9de6fe3cdb3d57214cc15fdd6f0ae7&ddCalcu=71ebza9y0dxfew66dfdef35c1dcbc34d1527&sv=10000&ct=www
CCTV3综艺,https://h5live.gslb.cmvideo.cn/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=20250829120035a28b02d1bc0443a5bf82f7ac7591f0f9&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=62a709421363d0628f3f5695d8940284&ddCalcu=4682z2ay07w40w9984d251936653fd30f682&sv=10000&ct=www
CCTV4中文国际,https://h5live.gslb.cmvideo.cn/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=202508291200356eeb9b64fce049e1bcbb5dec627c171f&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=a30e046c306f3fce3fd7c9138e70a7bf&ddCalcu=fab3z70yaex00w74e68c331096cf73dffc3e&sv=10000&ct=www
CCTV6电影,https://h5live.gslb.cmvideo.cn/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?msisdn=202508291200354ea40297bbfa45f59e953f1df5b5d178&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=8fe87fadaa9e1fef98357e75ec09351d&ddCalcu=d81fz5ey38w97w0fcaed5a7ae97e513f8e9f&sv=10000&ct=www
CCTV7国防军事,https://h5live.gslb.cmvideo.cn/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=20250829120035542d542026d54e92bd04af57cd0eecb6&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=0e22c97503fea1f1f62bf3b14f2dfd58&ddCalcu=805ezd2yf2bdcw29f74510b33ffeba216ff1&sv=10000&ct=www
CCTV8电视剧,https://h5live.gslb.cmvideo.cn/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?msisdn=2025082912003525d61c695342474194bff4a93c2acf8d&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=cf77a63416c276df6f44ab8133e161cc&ddCalcu=cccfz17y67w1awe633341186bca24746fd6f&sv=10000&ct=www
CCTV9纪录,https://h5live.gslb.cmvideo.cn/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=202508291200352c8f8280e9594ae0b2152d722f3eb8c0&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=b519e31269a568b11849d2218b5e7bcf&ddCalcu=fbc5zb1y79beew53b18216292ad596488b11&sv=10000&ct=www
CCTV10科教,https://h5live.gslb.cmvideo.cn/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?msisdn=20250829120035dd1f58632ae04a3b943dd3adabf28412&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=52892b3283ff93b608b51e8be97d127c&ddCalcu=c572z28y19wd2w7b93e2b883ef1f59b38b06&sv=10000&ct=www
CCTV11戏曲,https://h5live.gslb.cmvideo.cn/migu/kailu/cctv11hd/50/20200103/index.m3u8?msisdn=20250829120035b4184591965f48d0a884214a8341a662&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20250829120035&Channel_ID=0131_200300220100002&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.90&SecurityKey=20250829120035&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&puData=0df0f416af11569bec5e4f81c7ee6c40&ddCalcu=004dzcfy60aefwe471c61a8ff141e556c9eb&sv=10000&ct=www
