山西移动组播少儿,#genre#
CCTV14HD,http://60.220.163.42:4000/rtp/226.0.2.166:9240
卡酷少儿HD,http://60.220.163.42:4000/rtp/226.0.2.57:8368
金鹰卡通HD,http://60.220.163.42:4000/rtp/226.0.2.172:9288
哈哈炫动HD,http://60.220.163.42:4000/rtp/226.0.2.44:8264
动漫秀场HD,http://60.220.163.42:4000/rtp/226.0.2.183:9376

央视频道,#genre#
CCTV1HD,http://60.220.163.42:4000/rtp/226.0.2.153:9136
CCTV2HD,http://60.220.163.42:4000/rtp/226.0.2.154:9144
CCTV3HD,http://60.220.163.42:4000/rtp/226.0.2.208:9576
CCTV4HD,http://60.220.163.42:4000/rtp/226.0.2.156:9160
CCTV5HD,http://60.220.163.42:4000/rtp/226.0.2.209:9584
CCTV5+HD,http://60.220.163.42:4000/rtp/226.0.2.168:9256
CCTV6HD,http://60.220.163.42:4000/rtp/226.0.2.210:9592
CCTV7HD,http://60.220.163.42:4000/rtp/226.0.2.159:9184
CCTV8HD,http://60.220.163.42:4000/rtp/226.0.2.211:9600
CCTV9HD,http://60.220.163.42:4000/rtp/226.0.2.161:9200
CCTV10HD,http://60.220.163.42:4000/rtp/226.0.2.162:9208
CCTV12HD,http://60.220.163.42:4000/rtp/226.0.2.164:9224
CCTV13HD,http://60.220.163.42:4000/rtp/226.0.2.165:9232
CCTV16HD,http://60.220.163.42:4000/rtp/226.0.2.169:9264
CCTV17HD,http://60.220.163.42:4000/rtp/226.0.2.170:9272

卫视频道,#genre#
山西卫视HD,http://60.220.163.42:4000/rtp/226.0.2.152:9128
北京卫视4K,http://60.220.163.42:4000/rtp/226.0.2.155:9172
东方卫视4K,http://60.220.163.42:4000/rtp/226.0.1.248:2121
广东卫视4K,http://60.220.163.42:4000/rtp/226.0.1.245:2120
深圳卫视4K,http://60.220.163.42:4000/rtp/226.0.1.244:2119
湖南卫视4K,http://60.220.163.42:4000/rtp/226.0.1.246:2125
山东卫视4K,http://60.220.163.42:4000/rtp/226.0.1.251:2124
四川卫视4K,http://60.220.163.42:4000/rtp/226.0.1.250:2126
浙江卫视4K,http://60.220.163.42:4000/rtp/226.0.1.247:2123
江苏卫视4K,http://60.220.163.42:4000/rtp/226.0.1.249:2122
安徽卫视HD,http://60.220.163.42:4000/rtp/226.0.2.145:9072
重庆卫视HD,http://60.220.163.42:4000/rtp/226.0.2.174:9304
江苏卫视HD,http://60.220.163.42:4000/rtp/226.0.2.176:9320
浙江卫视HD,http://60.220.163.42:4000/rtp/226.0.2.144:9064
东方卫视HD,http://60.220.163.42:4000/rtp/226.0.2.175:9312
深圳卫视HD,http://60.220.163.42:4000/rtp/226.0.2.147:9088
北京卫视HD,http://60.220.163.42:4000/rtp/226.0.2.177:9328
山东卫视HD,http://60.220.163.42:4000/rtp/226.0.2.149:9104
天津卫视HD,http://60.220.163.42:4000/rtp/226.0.2.148:9096
贵州卫视HD,http://60.220.163.42:4000/rtp/226.0.2.180:9352
四川卫视HD,http://60.220.163.42:4000/rtp/226.0.2.179:9344
广西卫视HD,http://60.220.163.42:4000/rtp/226.0.2.231:9760
黑龙江卫视HD,http://60.220.163.42:4000/rtp/226.0.2.151:9120
江西卫视HD,http://60.220.163.42:4000/rtp/226.0.2.54:8344
湖北卫视HD,http://60.220.163.42:4000/rtp/226.0.2.150:9112
旅游卫视HD,http://60.220.163.42:4000/rtp/226.0.2.212:9608
东南卫视HD,http://60.220.163.42:4000/rtp/226.0.2.188:9416
吉林卫视HD,http://60.220.163.42:4000/rtp/226.0.2.58:8376
辽宁卫视HD,http://60.220.163.42:4000/rtp/226.0.2.173:9296
湖南卫视HD,http://60.220.163.42:4000/rtp/226.0.2.143:9056
广东卫视HD,http://60.220.163.42:4000/rtp/226.0.2.146:9080
河南卫视HD,http://60.220.163.42:4000/rtp/226.0.2.52:8328
河北卫视HD,http://60.220.163.42:4000/rtp/226.0.2.178:9336
宁夏卫视HD,http://60.220.163.42:4000/rtp/226.0.2.64:8424
甘肃卫视HD,http://60.220.163.42:4000/rtp/226.0.2.55:8352
新疆卫视HD,http://60.220.163.42:4000/rtp/226.0.2.67:8448
西藏卫视HD,http://60.220.163.42:4000/rtp/226.0.2.66:8440
兵团卫视HD,http://60.220.163.42:4000/rtp/226.0.2.62:8408

山西地方频道,#genre#
山西文体生活HD,http://60.220.163.42:4000/rtp/226.0.2.16:8040
山西文体生活HD,http://60.220.163.42:4000/rtp/226.0.2.237:9808
山西社会与法治HD,http://60.220.163.42:4000/rtp/226.0.2.238:9816
山西经济与科技HD,http://60.220.163.42:4000/rtp/226.0.2.236:9800
山西黄河HD,http://60.220.163.42:4000/rtp/226.0.2.235:9792
清徐HD,http://60.220.163.42:4000/rtp/226.0.2.191:9440

数字频道,#genre#
第一剧场HD,http://60.220.163.42:4000/rtp/226.0.2.221:9680
风云剧场HD,http://60.220.163.42:4000/rtp/226.0.2.227:9728
CHC影迷电影HD,http://60.220.163.42:4000/rtp/226.0.2.93:8004
CHC家庭影院HD,http://60.220.163.42:4000/rtp/226.0.2.240:9820
CHC动作电影HD,http://60.220.163.42:4000/rtp/226.0.2.94:8012
风云足球HD,http://60.220.163.42:4000/rtp/226.0.2.225:9712
风云音乐HD,http://60.220.163.42:4000/rtp/226.0.2.220:9672
世界地理HD,http://60.220.163.42:4000/rtp/226.0.2.222:9688
电视指南HD,http://60.220.163.42:4000/rtp/226.0.2.218:9656
怀旧剧场HD,http://60.220.163.42:4000/rtp/226.0.2.224:9704
兵器科技HD,http://60.220.163.42:4000/rtp/226.0.2.223:9696
